hour,node_id,floor,node_category,node_name,flow
10,C-WEST-LOOP,M,Corridor,West atrium loop corridor,17
10,C-WEST-VERTICAL,M,Corridor,West vertical corridor,243
10,C-WEST-MAIN,M,Corridor,West main corridor,96
10,C-CENTER-WEST,M,Corridor,Center west corridor,116
10,C-CENTER-NORTH,M,Corridor,Center north corridor,25
10,C-CENTER-SOUTH,M,Corridor,Center south corridor,298
10,C-EAST-HUB,M,Corridor,East hub corridor,48
10,C-EAST-BRIDGE,M,Corridor,East bridge corridor,4
10,C-EAST-TERMINAL,M,Corridor,East terminal corridor,0
10,C-SOUTH-ENTRY,M,Corridor,South entry corridor,397
10,M37b,M,Retail,M37b,0
10,M36,M,Retail,M36,0
10,M35,M,Retail,M35,1
10,M34,M,Retail,M34,0
10,M33,M,Retail,M33,6
10,M32,M,Retail,M32,2
10,M31,M,Retail,M31,3
10,M30,M,Retail,M30,7
10,M29,M,Retail,M29,2
10,M28,M,Retail,M28,6
10,M27,M,Retail,M27,1
10,M26,M,Retail,M26,8
10,M25,M,Retail,M25,4
10,M24,M,Retail,M24,1
10,M23,M,Retail,M23,0
10,M22,M,Retail,M22,0
10,M21,M,Anchor_Retail,M21,2
10,M20,M,Retail,M20,0
10,M19,M,Retail,M19,0
10,M17_M18,M,Retail,M17 & M18,2
10,M16,M,Retail,M16,0
10,M15,M,Retail,M15,1
10,M14,M,Retail,M14,0
10,M13,M,Retail,M13,6
10,M12b,M,Retail,M12b,0
10,M12a,M,Anchor_Retail,M12a,0
10,M10_M11,M,Retail,M10 & M11,0
10,M09,M,Retail,M09,3
10,M08,M,Retail,M08,0
10,M07,M,Retail,M07,2
10,M06,M,Retail,M06,2
10,M05,M,Retail,M05,11
10,M04,M,Retail,M04,2
10,M03,M,Retail,M03,14
10,M02,M,Retail,M02,24
10,M01,M,Anchor_Retail,M01,43
10,M68,M,Retail,M68,63
10,M67,M,Retail,M67,30
10,M66,M,Retail,M66,24
10,M65,M,Retail,M65,30
10,M64,M,Retail,M64,36
10,M63,M,Retail,M63,12
10,M62,M,Retail,M62,5
10,M61,M,Retail,M61,6
10,M60,M,Retail,M60,3
10,M59,M,Retail,M59,2
10,M58,M,Retail,M58,2
10,M57,M,Retail,M57,9
10,M56,M,Retail,M56,16
10,M55,M,Retail,M55,11
10,M54,M,Retail,M54,2
10,M53,M,Retail,M53,8
10,M52,M,Retail,M52,23
10,M51,M,Retail,M51,26
10,M50,M,Retail,M50,4
10,M49,M,Retail,M49,0
10,M48b,M,Retail,M48b,2
10,M48a,M,Retail,M48a,4
10,M47,M,Retail,M47,12
10,M46,M,Retail,M46,17
10,M45,M,Retail,M45,11
10,M44,M,Retail,M44,6
10,M43,M,Retail,M43,16
10,M42,M,Retail,M42,4
10,M41a,M,Retail,M41a,16
10,M41b,M,Retail,M41b,10
10,M40,M,Retail,M40,0
10,M39,M,Retail,M39,0
10,M38,M,Retail,M38,0
10,M15a,M,Retail_Kiosk,M15a,2
10,A-NORTH-01,M,Unknown_Area,Unlabeled north anchor area,0
10,A-SOUTH-01,M,Unknown_Area,Unlabeled south anchor area,20
10,A-EAST-01,M,Unknown_Area,Unlabeled east anchor area,0
10,F-WC-01,M,Facility_Restroom,Restroom / Accessible WC,1
10,F-WC-02,M,Facility_Restroom,Restroom / Accessible WC,6
10,F-WC-03,M,Facility_Restroom,Restroom / Accessible WC,0
10,F-ELEV-01,M,Facility_Elevator,Elevator bank,0
10,F-ELEV-02,M,Facility_Elevator,Elevator bank,0
10,F-ESC-01,M,Facility_Escalator,Escalator,2
10,F-ESC-02,M,Facility_Escalator,Escalator,4
10,F-ESC-03,M,Facility_Escalator,Escalator,0
10,F-ESC-04,M,Facility_Escalator,Escalator,0
10,F-ESC-05,M,Facility_Escalator,Escalator,16
10,F-ESC-06,M,Facility_Escalator,Escalator,0
10,F-ESC-07,M,Facility_Escalator,Escalator,0
10,F-PARK-01,M,Facility_Parking,Parking access,1
10,F-PARK-02,M,Facility_Parking,Parking access,0
10,F-PARK-03,M,Facility_Parking,Parking access,1
10,F-INFO-01,M,Facility_Service,Information desk,0
10,F-SERVICE-01,M,Facility_Service,Service counter / luggage icon,0
10,E-TRANSIT-01,M,Entrance,Southwest transit entrance,64
10,E-BUS-01,M,Entrance,South transit / bus access,50
10,E-TRANSIT-02,M,Entrance,South transit / rail access,66
10,MU-C-WEST-LOOP,MU,Corridor,West atrium loop corridor,368
10,MU-C-WEST-NORTH,MU,Corridor,Northwest corridor,146
10,MU-C-WEST-MAIN,MU,Corridor,West main corridor,32
10,MU-C-WEST-SOUTH,MU,Corridor,Southwest corridor,248
10,MU-C-SOUTH-COURT,MU,Corridor,Southwest court corridor,107
10,MU-C-CENTER-MAIN,MU,Corridor,Central main corridor,179
10,MU-C-NORTH-COURT,MU,Corridor,North central court corridor,421
10,MU-C-CENTER-HUB,MU,Corridor,Central hub corridor,35
10,MU-C-VERTICAL,MU,Corridor,Central vertical corridor,12
10,MU-C-EAST-HUB,MU,Corridor,East central corridor,144
10,MU-C-EAST-WING,MU,Corridor,East wing corridor,88
