hour,store_id,node_id,brand,store_type,category_text,visits,revenue
10,M33#16,M33,顺电,retail,影音 / 电器用品,4,0
10,M30#19,M30,昂跑,retail,休闲服 / 运动用品,4,0
10,M28#21,M28,之禾,retail,女装,4,0
10,M26#23,M26,maje,retail,女装,5,653.08
10,M25#24,M25,伊索,retail,保健 / 美容护理,2,0
10,M24#25,M24,老铺黄金,retail,珠宝 / 钟表 / 饰品,1,1546.68
10,M21#28,M21,Olé精品超市,anchor,主力店,1,0
10,M15#33,M15,INITIAL,retail,女装 | 男装,1,0
10,M13#35,M13,Bang & Olufsen,retail,影音 / 电器用品,4,0
10,M12b#36,M12b,ELLE 路易士·嘉玛发廊,retail,保健 / 美容护理,0,0
10,M09#39,M09,雅德诺,retail,男装,2,0
10,M07#41,M07,单农,retail,男装,1,0
10,M05#43,M05,亮视点,retail,珠宝 / 钟表 / 饰品,6,2102.13
10,M03#45,M03,古驰美妆,retail,保健 / 美容护理,7,370.31
10,M02#46,M02,APM Monaco,retail,珠宝 / 钟表 / 饰品,12,1947.48
10,M67#49,M67,周大福荟馆JEWELRIA精品店,retail,珠宝 / 钟表 / 饰品,16,0
10,M66#50,M66,American Vintage,retail,女装,12,1488.8
10,M65#51,M65,self-portrait,retail,女装,15,0
10,M64#52,M64,馥蕾诗,retail,保健 / 美容护理,20,373.88
10,M63#53,M63,朋博湾,retail,童装 / 玩具,8,378.89
10,M61#55,M61,ROCK&RIDE VINTAGE,retail,珠宝 / 钟表 / 饰品,5,1874.81
10,M60#56,M60,依诺,retail,女装,2,0
10,M58#58,M58,Tabio,retail,休闲服 / 运动用品,1,348.71
10,M57#59,M57,initial,retail,休闲服 / 运动用品,6,388.33
10,M55#61,M55,泡泡玛特,retail,,6,474.35
10,M48a#69,M48a,WASAI LIVING,retail,休闲服 / 运动用品,2,0
10,M47#70,M47,TOMMY HILFIGER,retail,休闲服 / 运动用品,7,0
10,M46#71,M46,LACOSTE,retail,休闲服 / 运动用品,9,0
10,M45#72,M45,EVISU,retail,休闲服 / 运动用品,6,0
10,M43#74,M43,摩安珂,retail,女装,9,0
10,M41a#76,M41a,little Mo&Co.,retail,童装 / 玩具,9,1639.67
10,M41b#77,M41b,广天藏品,retail,工艺 / 家居 / 礼品,5,924.39
10,MU35#118,MU35,方所,anchor,主力店,18,483.61
10,MU36#119,MU36,始祖鸟,retail,休闲服 / 运动用品,1,0
10,MU37#120,MU37,EVISU,retail,休闲服 / 运动用品,5,483.54
10,MU38#121,MU38,CURIEL,retail,女装,4,0
10,MU38#122,MU38,GEGINA,retail,女装,8,754.77
10,MU39#123,MU39,POLO RALPH LAUREN,retail,男装 | 女装,6,668.27
10,MU39#124,MU39,GENTSPACE,retail,男装,4,0
10,MU41a#126,MU41a,Nespresso,dining,特色美食,13,229.07
10,MU42#128,MU42,莆田餐厅,dining,亚洲风味,8,393.19
10,MU44#131,MU44,浪琴广州太古汇直营店,retail,珠宝 / 钟表 / 饰品,7,2108.4
10,MU45#132,MU45,艾璞俪梦,retail,珠宝 / 钟表 / 饰品,5,0
10,MU45a#133,MU45a,曼尼陀,retail,女装 | 男装,4,1428.18
10,MU46#134,MU46,野兽派花店,retail,工艺 / 家居 / 礼品,6,1250.4
10,MU47a#135,MU47a,玛俪琳,retail,女装,14,1437.26
10,MU47b#136,MU47b,馥马尔、凯利安,retail,保健 / 美容护理,7,688.36
10,MU48#137,MU48,露露乐蒙,retail,休闲服 / 运动用品,14,1613.27
10,MU32_MU33#145,MU32_MU33,潘海利根,retail,保健 / 美容护理,9,343.39
10,MU32_MU33#146,MU32_MU33,阿蒂仙之香,retail,保健 / 美容护理,8,323.21
10,MU31#147,MU31,珑骧,retail,鞋 / 包 / 皮具用品,13,0
10,MU25#152,MU25,la prairie,retail,保健 / 美容护理,2,0
10,MU20#155,MU20,叁木司.日式餐酒馆,dining,亚洲风味,10,663.98
10,MU21#156,MU21,鳗几,dining,亚洲风味,12,549.02
10,MU19#157,MU19,鼎泰丰,dining,亚洲风味,9,416.22
10,MU18#158,MU18,美奈小馆钻石店,dining,亚洲风味,14,759.34
10,MU17#159,MU17,阿嬷手作,dining,特色美食,15,632.15
10,MU16g_h#160,MU16g_h,太二前传,dining,中式餐饮,17,473.63
10,MU16f#161,MU16f,熟客·星马印料理,dining,亚洲风味,19,1183.85
10,MU16e#162,MU16e,鮨 · 半藏,dining,亚洲风味,10,533.6
10,MU16d#163,MU16d,喜家德,dining,中式餐饮,7,267.47
10,MU16c#164,MU16c,锋壹碗,dining,美食广场,4,98.67
10,MU16k#165,MU16k,SONG Cafe,dining,休闲餐饮及烘焙,7,175.29
10,MU16i#166,MU16i,入续·糖水铺与包·臻选,dining,休闲餐饮及烘焙,11,162.93
10,MU16j#167,MU16j,意拾光,dining,西式风味,11,526.3
10,MU16l#168,MU16l,ZAKUZAKU,dining,休闲餐饮及烘焙,8,207.26
10,MU16b#169,MU16b,面道鲜师,dining,中式餐饮,11,531.45
10,MU16a#170,MU16a,CONSOMMÉ,dining,美食广场,8,57.9
10,MU14#172,MU14,Dior迪奥化妆品精品店,retail,保健 / 美容护理,1,0
10,MU12#174,MU12,帕尔玛之水,retail,保健 / 美容护理,3,0
10,MU10#176,MU10,周生生,retail,珠宝 / 钟表 / 饰品,3,0
10,MU08_MU09#177,MU08_MU09,卡纷,retail,女装,8,778.03
10,MU05#181,MU05,肯佐,retail,休闲服 / 运动用品,4,0
10,MU04#182,MU04,SANDRO,retail,女装,5,0
10,MU03b#183,MU03b,肌肤之钥,retail,保健 / 美容护理,3,282.45
10,MU02b_MU03a#184,MU02b_MU03a,GENTLE MONSTER,retail,珠宝 / 钟表 / 饰品,3,3772.92
10,MU02a#185,MU02a,蔻驰,retail,女装,2,661.27
10,L1-L119#216,L1-L119,Bottega Veneta,retail,鞋 / 包 / 皮具用品,23,1942.6
10,L1-L118#217,L1-L118,MIU MIU,retail,女装,22,1504.35
10,L1-L117#218,L1-L117,BURBERRY,retail,女装 | 男装 | 鞋 / 包 / 皮具用品 | 珠宝 / 钟表 / 饰品,14,8907.72
10,L1-L116#219,L1-L116,BALENCIAGA,retail,女装 | 男装 | 鞋 / 包 / 皮具用品 | 珠宝 / 钟表 / 饰品,29,10986.03
10,L1-L115#220,L1-L115,芬廸,retail,女装 | 男装 | 鞋 / 包 / 皮具用品,20,612.24
10,L1-L114#221,L1-L114,香奈儿,retail,,30,1220.58
10,L1-L114#222,L1-L114,香奈儿,retail,女装 | 珠宝 / 钟表 / 饰品 | 鞋 / 包 / 皮具用品,29,3283.43
10,L1-L113#223,L1-L113,古驰,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品 | 鞋 / 包 / 皮具用品 | 工艺 / 家居 / 礼品,42,5785.7
10,L1-L112#224,L1-L112,PRADA,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品,18,6261.55
10,L1-L112#225,L1-L112,PRADA,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品,34,20042.29
10,L1-L111#226,L1-L111,迪奥,retail,,35,2392.93
10,L1-L109#228,L1-L109,麦克斯·马勒,retail,女装,12,620.88
10,L1-L108#229,L1-L108,万宝龙,retail,珠宝 / 钟表 / 饰品,18,3499.37
10,L1-L108A#230,L1-L108A,万宝龙,retail,珠宝 / 钟表 / 饰品,31,12418.56
10,L1-L106-L107#232,L1-L106-L107,Van Cleef & Arpels,retail,珠宝 / 钟表 / 饰品,20,1571.81
10,L1-L104#234,L1-L104,卡地亚,retail,珠宝 / 钟表 / 饰品,13,0
10,L1-L103#235,L1-L103,Loro Piana,retail,女装 | 男装,7,560.2
10,L1-L101#237,L1-L101,路易威登,retail,,19,733.3
10,L1-L120#239,L1-L120,亚历山大麦昆,retail,男装,17,2037.75
10,L1-L121#240,L1-L121,思琳广州太古汇精品店,retail,女装 | 男装 | 鞋 / 包 / 皮具用品 | 珠宝 / 钟表 / 饰品,20,1733.77
10,L1-L122#241,L1-L122,伯爵,retail,珠宝 / 钟表 / 饰品,19,5167.17
10,L1-L125#244,L1-L125,爱马仕,retail,,39,2148.62
10,L2-L226#275,L2-L226,日默瓦,retail,鞋 / 包 / 皮具用品,0,0
10,L2-L225B#276,L2-L225B,派,retail,珠宝 / 钟表 / 饰品,0,0
10,L2-L224#278,L2-L224,I.T,retail,女装 | 男装,0,0
10,L2-L223#279,L2-L223,范思哲,retail,女装 | 男装,0,0
10,L2-L221-L222#280,L2-L221-L222,溥仪眼镜,retail,珠宝 / 钟表 / 饰品,0,0
10,L2-L220#281,L2-L220,罗杰维维亚,retail,鞋 / 包 / 皮具用品,0,0
10,L2-L218-L219#282,L2-L218-L219,古驰,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品 | 鞋 / 包 / 皮具用品,0,0
10,L2-L217#283,L2-L217,古驰,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品 | 鞋 / 包 / 皮具用品 | 工艺 / 家居 / 礼品,0,0
10,L2-L216#284,L2-L216,PRADA,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品,0,0
10,L2-L216#285,L2-L216,PRADA,retail,女装 | 男装 | 珠宝 / 钟表 / 饰品,0,0
10,L2-L215#286,L2-L215,迪奥,retail,女装 | 男装 | 鞋 / 包 / 皮具用品 | 珠宝 / 钟表 / 饰品,0,0
10,L2-L213#288,L2-L213,寇依,retail,女装 | 鞋 / 包 / 皮具用品,0,0
10,L2-L211#289,L2-L211,欧米茄,retail,珠宝 / 钟表 / 饰品,0,0
10,L2-L210A#291,L2-L210A,萧邦,retail,珠宝 / 钟表 / 饰品,0,0
10,L2-L209#292,L2-L209,FIFTH x Hair Code,retail,生活时尚,0,0
10,L2-L207-L208#293,L2-L207-L208,菲拉格慕,retail,鞋 / 包 / 皮具用品,0,0
10,L2-L206#294,L2-L206,吉米周,retail,鞋 / 包 / 皮具用品,0,0
10,L2-L205#295,L2-L205,瑭姆步朗,retail,女装 | 男装 | 鞋 / 包 / 皮具用品 | 童装 / 玩具,0,0
10,L2-L201#299,L2-L201,路易威登,retail,,0,0
10,L2-L228#300,L2-L228,Tory Burch,retail,女装 | 珠宝 / 钟表 / 饰品 | 鞋 / 包 / 皮具用品 | 工艺 / 家居 / 礼品 | 生活时尚,0,0
10,L2-L230#303,L2-L230,吉尔桑德,retail,女装 | 男装,0,0
10,L2-L233#306,L2-L233,爱马仕,retail,,0,0
10,L3-L302#329,L3-L302,gaga 品牌旗舰店,dining,西式风味,0,0
10,L3-L303#330,L3-L303,尚莲·越南泰国料理,dining,亚洲风味,0,0
10,L3-L304#331,L3-L304,glance,dining,西式风味,0,0
10,L3-L305#332,L3-L305,大象园,dining,西式风味,0,0
10,L3-L306#333,L3-L306,小山 炉端烧•鮨,dining,亚洲风味,0,0
10,L3-L307#334,L3-L307,御寶閣潮州酒家,dining,中式餐饮,0,0
10,L3-L308A#335,L3-L308A,超级猩猩,anchor,主力店,0,0
11,M33#16,M33,顺电,retail,影音 / 电器用品,22,1598.82
11,M30#19,M30,昂跑,retail,休闲服 / 运动用品,7,371.14
11,M28#21,M28,之禾,retail,女装,28,3329.29
11,M26#23,M26,maje,retail,女装,17,1489.34
11,M25#24,M25,伊索,retail,保健 / 美容护理,3,352.4
11,M24#25,M24,老铺黄金,retail,珠宝 / 钟表 / 饰品,7,0
11,M21#28,M21,Olé精品超市,anchor,主力店,18,815.74
11,M15#33,M15,INITIAL,retail,女装 | 男装,8,587.35
11,M13#35,M13,Bang & Olufsen,retail,影音 / 电器用品,8,0
11,M12b#36,M12b,ELLE 路易士·嘉玛发廊,retail,保健 / 美容护理,1,319.55
11,M09#39,M09,雅德诺,retail,男装,5,0
11,M07#41,M07,单农,retail,男装,4,1300.73
11,M05#43,M05,亮视点,retail,珠宝 / 钟表 / 饰品,26,7300.7
11,M03#45,M03,古驰美妆,retail,保健 / 美容护理,15,270.33
11,M02#46,M02,APM Monaco,retail,珠宝 / 钟表 / 饰品,22,12233.1
11,M67#49,M67,周大福荟馆JEWELRIA精品店,retail,珠宝 / 钟表 / 饰品,29,7289.94
11,M66#50,M66,American Vintage,retail,女装,28,2712.32
11,M65#51,M65,self-portrait,retail,女装,35,2126.44
11,M64#52,M64,馥蕾诗,retail,保健 / 美容护理,47,2598.19
11,M63#53,M63,朋博湾,retail,童装 / 玩具,11,1220.93
11,M61#55,M61,ROCK&RIDE VINTAGE,retail,珠宝 / 钟表 / 饰品,12,3685.53
11,M60#56,M60,依诺,retail,女装,11,575.07
11,M58#58,M58,Tabio,retail,休闲服 / 运动用品,12,450.12
11,M57#59,M57,initial,retail,休闲服 / 运动用品,18,1221.49
11,M55#61,M55,泡泡玛特,retail,,19,1816.19
11,M48a#69,M48a,WASAI LIVING,retail,休闲服 / 运动用品,20,451.09
