store_id,brand,store_type,category_text,real_position,optimized_position,real_node,optimized_node,real_floor,optimized_floor,real_revenue,optimized_revenue,gain,gain_rate,moved
S16,顺电,retail,影音 / 电器用品,M33@1,M47@1,M33,M47,M,M,218580.6795,167278.4867,-51302.1929,-0.2347,1
S19,昂跑,retail,休闲服 / 运动用品,M30@1,L2-L207-L208@1,M30,L2-L207-L208,M,L2,136214.9914,0.0,-136214.9914,-1.0,1
S21,之禾,retail,女装,M28@1,M61@1,M28,M61,M,M,422000.0467,271394.3268,-150605.7199,-0.3569,1
S23,maje,retail,女装,M26@1,M03@1,M26,M03,M,M,435787.6723,249479.775,-186307.8973,-0.4275,1
S24,伊索,retail,保健 / 美容护理,M25@1,MU12@1,M25,MU12,M,MU,70103.2234,69646.2022,-457.0212,-0.0065,1
S25,老铺黄金,retail,珠宝 / 钟表 / 饰品,M24@1,L1-L118@1,M24,L1-L118,M,L1,465979.1328,1587292.8584,1121313.7256,2.4064,1
S28,Olé精品超市,anchor,主力店,M21@1,L2-L201@1,M21,L2-L201,M,L2,234331.124,0.0,-234331.124,-1.0,1
S33,INITIAL,retail,女装 | 男装,M15@1,M46@1,M15,M46,M,M,126414.3283,275741.9366,149327.6083,1.1813,1
S35,Bang & Olufsen,retail,影音 / 电器用品,M13@1,L2-L216@2,M13,L2-L216,M,L2,73474.094,0.0,-73474.094,-1.0,1
S36,ELLE 路易士·嘉玛发廊,retail,保健 / 美容护理,M12b@1,MU44@1,M12b,MU44,M,MU,15663.9744,65370.6221,49706.6477,3.1733,1
S39,雅德诺,retail,男装,M09@1,M02@1,M09,M02,M,M,114779.3393,241532.7217,126753.3824,1.1043,1
S41,单农,retail,男装,M07@1,MU08_MU09@1,M07,MU08_MU09,M,MU,99549.4806,276832.1794,177282.6988,1.7809,1
S43,亮视点,retail,珠宝 / 钟表 / 饰品,M05@1,L1-L120@1,M05,L1-L120,M,L1,822576.627,1661757.9008,839181.2738,1.0202,1
S45,古驰美妆,retail,保健 / 美容护理,M03@1,L3-L306@1,M03,L3-L306,M,L3,111294.0173,0.0,-111294.0173,-1.0,1
S46,APM Monaco,retail,珠宝 / 钟表 / 饰品,M02@1,MU16g_h@1,M02,MU16g_h,M,MU,639351.3222,1254303.9995,614952.6773,0.9618,1
S49,周大福荟馆JEWELRIA精品店,retail,珠宝 / 钟表 / 饰品,M67@1,M65@1,M67,M65,M,M,958428.5472,1148012.8961,189584.3489,0.1978,1
S50,American Vintage,retail,女装,M66@1,MU46@1,M66,MU46,M,MU,301379.2531,239749.4204,-61629.8327,-0.2045,1
S51,self-portrait,retail,女装,M65@1,M57@1,M65,M57,M,M,506740.9462,308371.8885,-198369.0577,-0.3915,1
S52,馥蕾诗,retail,保健 / 美容护理,M64@1,L2-L230@1,M64,L2-L230,M,L2,280495.872,0.0,-280495.872,-1.0,1
S53,朋博湾,retail,童装 / 玩具,M63@1,L2-L206@1,M63,L2-L206,M,L2,150208.4153,0.0,-150208.4153,-1.0,1
S55,ROCK&RIDE VINTAGE,retail,珠宝 / 钟表 / 饰品,M61@1,L1-L106-L107@1,M61,L1-L106-L107,M,L1,681019.8444,1390291.7213,709271.8769,1.0415,1
S56,依诺,retail,女装,M60@1,MU39@2,M60,MU39,M,MU,195064.7184,278919.9068,83855.1884,0.4299,1
S58,Tabio,retail,休闲服 / 运动用品,M58@1,M09@1,M58,M09,M,M,127464.8432,70893.1213,-56571.7219,-0.4438,1
S59,initial,retail,休闲服 / 运动用品,M57@1,MU02a@1,M57,MU02a,M,MU,182536.079,81456.1574,-101079.9216,-0.5538,1
S61,泡泡玛特,retail,,M55@1,MU02b_MU03a@1,M55,MU02b_MU03a,M,MU,149944.3747,80798.3719,-69146.0028,-0.4611,1
S69,WASAI LIVING,retail,休闲服 / 运动用品,M48a@1,M15@1,M48a,M15,M,M,126090.7301,66099.1243,-59991.6058,-0.4758,1
S70,TOMMY HILFIGER,retail,休闲服 / 运动用品,M47@1,MU05@1,M47,MU05,M,MU,155547.6048,122942.8184,-32604.7864,-0.2096,1
S71,LACOSTE,retail,休闲服 / 运动用品,M46@1,M13@1,M46,M13,M,M,170311.1962,77506.6256,-92804.5705,-0.5449,1
S72,EVISU,retail,休闲服 / 运动用品,M45@1,L2-L213@1,M45,L2-L213,M,L2,138061.8691,0.0,-138061.8691,-1.0,1
S74,摩安珂,retail,女装,M43@1,M07@1,M43,M07,M,M,239369.7485,105013.1265,-134356.622,-0.5613,1
S76,little Mo&Co.,retail,童装 / 玩具,M41a@1,L3-L305@1,M41a,L3-L305,M,L3,148565.1359,0.0,-148565.1359,-1.0,1
S77,广天藏品,retail,工艺 / 家居 / 礼品,M41b@1,MU37@1,M41b,MU37,M,MU,147147.1369,124539.9811,-22607.1558,-0.1536,1
S118,方所,anchor,主力店,MU35@1,L2-L216@1,MU35,L2-L216,MU,L2,499867.609,0.0,-499867.609,-1.0,1
S119,始祖鸟,retail,休闲服 / 运动用品,MU36@1,L2-L217@1,MU36,L2-L217,MU,L2,133166.5658,0.0,-133166.5658,-1.0,1
S120,EVISU,retail,休闲服 / 运动用品,MU37@1,MU47b@1,MU37,MU47b,MU,MU,124539.9811,123450.3807,-1089.6004,-0.0087,1
S121,CURIEL,retail,女装,MU38@1,M60@1,MU38,M60,MU,M,284451.6835,195064.7184,-89386.9651,-0.3142,1
S122,GEGINA,retail,女装,MU38@2,L2-L218-L219@1,MU38,L2-L218-L219,MU,L2,284451.6835,0.0,-284451.6835,-1.0,1
S123,POLO RALPH LAUREN,retail,男装 | 女装,MU39@1,MU45@1,MU39,MU45,MU,MU,278919.9068,148571.1593,-130348.7475,-0.4673,1
S124,GENTSPACE,retail,男装,MU39@2,M64@1,MU39,M64,MU,M,278919.9068,504596.7341,225676.8273,0.8091,1
S126,Nespresso,dining,特色美食,MU41a@1,L2-L210A@1,MU41a,L2-L210A,MU,L2,153224.5178,0.0,-153224.5178,-1.0,1
S128,莆田餐厅,dining,亚洲风味,MU42@1,MU16b@1,MU42,MU16b,MU,MU,363314.1853,629612.7408,266298.5555,0.733,1
S131,浪琴广州太古汇直营店,retail,珠宝 / 钟表 / 饰品,MU44@1,MU16a@1,MU44,MU16a,MU,MU,348578.4658,1070166.2625,721587.7967,2.0701,1
S132,艾璞俪梦,retail,珠宝 / 钟表 / 饰品,MU45@1,MU32_MU33@2,MU45,MU32_MU33,MU,MU,393276.5982,1198718.739,805442.1408,2.048,1
S133,曼尼陀,retail,女装 | 男装,MU45a@1,MU16e@1,MU45a,MU16e,MU,MU,146026.2559,344527.3884,198501.1325,1.3594,1
S134,野兽派花店,retail,工艺 / 家居 / 礼品,MU46@1,L3-L303@1,MU46,L3-L303,MU,L3,140376.1585,0.0,-140376.1585,-1.0,1
S135,玛俪琳,retail,女装,MU47a@1,MU03b@1,MU47a,MU03b,MU,MU,330878.1002,152029.3668,-178848.7334,-0.5405,1
S136,馥马尔、凯利安,retail,保健 / 美容护理,MU47b@1,L2-L205@1,MU47b,L2-L205,MU,L2,94057.4329,0.0,-94057.4329,-1.0,1
S137,露露乐蒙,retail,休闲服 / 运动用品,MU48@1,L2-L211@1,MU48,L2-L211,MU,L2,216622.0274,0.0,-216622.0274,-1.0,1
S145,潘海利根,retail,保健 / 美容护理,MU32_MU33@1,L3-L304@1,MU32_MU33,L3-L304,MU,L3,304174.2859,0.0,-304174.2859,-1.0,1
S146,阿蒂仙之香,retail,保健 / 美容护理,MU32_MU33@2,L2-L233@1,MU32_MU33,L2-L233,MU,L2,304174.2859,0.0,-304174.2859,-1.0,1
S147,珑骧,retail,鞋 / 包 / 皮具用品,MU31@1,M58@1,MU31,M58,MU,M,441629.1654,272122.6188,-169506.5466,-0.3838,1
S152,la prairie,retail,保健 / 美容护理,MU25@1,L2-L225B@1,MU25,L2-L225B,MU,L2,79183.7879,0.0,-79183.7879,-1.0,1
S155,叁木司.日式餐酒馆,dining,亚洲风味,MU20@1,M63@1,MU20,M63,MU,M,508777.8718,255114.2943,-253663.5775,-0.4986,1
S156,鳗几,dining,亚洲风味,MU21@1,M66@1,MU21,M66,MU,M,686390.0989,333357.4932,-353032.6056,-0.5143,1
S157,鼎泰丰,dining,亚洲风味,MU19@1,M41a@1,MU19,M41a,MU,M,596112.6118,270649.8302,-325462.7815,-0.546,1
S158,美奈小馆钻石店,dining,亚洲风味,MU18@1,MU42@1,MU18,MU42,MU,MU,691965.0795,363314.1853,-328650.8942,-0.475,1
S159,阿嬷手作,dining,特色美食,MU17@1,MU25@1,MU17,MU25,MU,MU,325956.1711,90294.4752,-235661.6958,-0.723,1
