solution,store_id,brand,store_type,position_id,floor,revenue,rent,profit,growth_rate
现实布局,S16,顺电,retail,M33@1,M,218580.6795,49247.85152,-930.42049,0.0
现实布局,S19,昂跑,retail,M30@1,M,136214.9914,24433.081173,-4119.984097,0.0
现实布局,S21,之禾,retail,M28@1,M,422000.0467,25235.335271,92244.680607,0.0
现实布局,S23,maje,retail,M26@1,M,435787.6723,25310.730664,96857.077918,0.0
现实布局,S24,伊索,retail,M25@1,M,70103.2234,12106.39263,-14271.296674,0.0
现实布局,S25,老铺黄金,retail,M24@1,M,465979.1328,24261.085434,108171.819718,0.0
现实布局,S28,Olé精品超市,anchor,M21@1,M,234331.124,61430.228569,-47190.758809,0.0
现实布局,S33,INITIAL,retail,M15@1,M,126414.3283,24053.748104,-7072.876482,0.0
现实布局,S35,Bang & Olufsen,retail,M13@1,M,73474.094,12041.010688,-13059.818728,0.0
现实布局,S36,ELLE 路易士·嘉玛发廊,retail,M12b@1,M,15663.9744,23688.551672,-44362.800376,0.0
现实布局,S39,雅德诺,retail,M09@1,M,114779.3393,12032.175291,992.800071,0.0
现实布局,S41,单农,retail,M07@1,M,99549.4806,12001.545912,-4154.722508,0.0
现实布局,S43,亮视点,retail,M05@1,M,822576.627,12463.342692,241212.710488,0.0
现实布局,S45,古驰美妆,retail,M03@1,M,111294.0173,12308.428721,-468.462839,0.0
现实布局,S46,APM Monaco,retail,M02@1,M,639351.3222,12329.633675,179049.815873,0.0
现实布局,S49,周大福荟馆JEWELRIA精品店,retail,M67@1,M,958428.5472,25017.395465,274848.310583,0.0
现实布局,S50,American Vintage,retail,M66@1,M,301379.2531,24786.497075,51682.448979,0.0
现实布局,S51,self-portrait,retail,M65@1,M,506740.9462,37828.263794,108463.657914,0.0
现实布局,S52,馥蕾诗,retail,M64@1,M,280495.872,25932.742652,43435.853828,0.0
现实布局,S53,朋博湾,retail,M63@1,M,150208.4153,12309.606774,12761.254428,0.0
现实布局,S55,ROCK&RIDE VINTAGE,retail,M61@1,M,681019.8444,12347.30447,193199.442626,0.0
现实布局,S56,依诺,retail,M60@1,M,195064.7184,12214.773507,28107.230749,0.0
现实布局,S58,Tabio,retail,M58@1,M,127464.8432,12230.088196,5107.958492,0.0
现实布局,S59,initial,retail,M57@1,M,182536.079,24727.594425,11334.672435,0.0
现实布局,S61,泡泡玛特,retail,M55@1,M,149944.3747,24532.037625,449.049773,0.0
现实布局,S69,WASAI LIVING,retail,M48a@1,M,126090.7301,12233.622355,4637.225879,0.0
现实布局,S70,TOMMY HILFIGER,retail,M47@1,M,155547.6048,24573.269481,2312.916151,0.0
现实布局,S71,LACOSTE,retail,M46@1,M,170311.1962,24662.801509,7243.005199,0.0
现实布局,S72,EVISU,retail,M45@1,M,138061.8691,24460.176392,-3519.140898,0.0
现实布局,S74,摩安珂,retail,M43@1,M,239369.7485,24519.079042,30866.635448,0.0
现实布局,S76,little Mo&Co.,retail,M41a@1,M,148565.1359,12315.497039,12196.649167,0.0
现实布局,S77,广天藏品,retail,M41b@1,M,147147.1369,12314.318986,11715.70756,0.0
现实布局,S118,方所,anchor,MU35@1,MU,499867.609,59358.098776,18610.127384,0.0
现实布局,S119,始祖鸟,retail,MU36@1,MU,133166.5658,11291.24016,7985.392212,0.0
现实布局,S120,EVISU,retail,MU37@1,MU,124539.9811,11248.429714,5095.16386,0.0
现实布局,S121,CURIEL,retail,MU38@1,MU,284451.6835,11415.878169,59297.694221,0.0
现实布局,S122,GEGINA,retail,MU38@2,MU,284451.6835,11415.878169,59297.694221,0.0
现实布局,S123,POLO RALPH LAUREN,retail,MU39@1,MU,278919.9068,11414.252455,57418.515857,0.0
现实布局,S124,GENTSPACE,retail,MU39@2,MU,278919.9068,11414.252455,57418.515857,0.0
现实布局,S126,Nespresso,dining,MU41a@1,MU,153224.5178,11341.637268,35012.660208,0.0
现实布局,S128,莆田餐厅,dining,MU42@1,MU,363314.1853,45256.000578,89335.957248,0.0
现实布局,S131,浪琴广州太古汇直营店,retail,MU44@1,MU,348578.4658,11110.786001,81405.892371,0.0
现实布局,S132,艾璞俪梦,retail,MU45@1,MU,393276.5982,11143.842168,96570.20122,0.0
现实布局,S133,曼尼陀,retail,MU45a@1,MU,146026.2559,11136.797411,12512.129595,0.0
现实布局,S134,野兽派花店,retail,MU46@1,MU,140376.1585,11299.91063,10427.98326,0.0
现实布局,S135,玛俪琳,retail,MU47a@1,MU,330878.1002,11519.92381,74978.630258,0.0
现实布局,S136,馥马尔、凯利安,retail,MU47b@1,MU,94057.4329,11250.597332,-5271.070146,0.0
现实布局,S137,露露乐蒙,retail,MU48@1,MU,216622.0274,22974.819094,24676.670222,0.0
现实布局,S145,潘海利根,retail,MU32_MU33@1,MU,304174.2859,23474.454936,53944.80227,0.0
现实布局,S146,阿蒂仙之香,retail,MU32_MU33@2,MU,304174.2859,23474.454936,53944.80227,0.0
现实布局,S147,珑骧,retail,MU31@1,MU,441629.1654,22997.579079,101156.337157,0.0
现实布局,S152,la prairie,retail,MU25@1,MU,79183.7879,11188.820232,-10266.332346,0.0
现实布局,S155,叁木司.日式餐酒馆,dining,MU20@1,MU,508777.8718,23334.643605,172352.062551,0.0
现实布局,S156,鳗几,dining,MU21@1,MU,686390.0989,23974.090778,246309.75076,0.0
现实布局,S157,鼎泰丰,dining,MU19@1,MU,596112.6118,34966.199718,197401.097238,0.0
现实布局,S158,美奈小馆钻石店,dining,MU18@1,MU,691965.0795,46953.245107,225672.088283,0.0
现实布局,S159,阿嬷手作,dining,MU17@1,MU,325956.1711,23599.092944,95302.498918,0.0
现实布局,S160,太二前传,dining,MU16g_h@1,MU,799684.6445,23736.736658,294130.814032,0.0
